Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,country,year
ES Szwarczynski,2,-,-,-,-,-,-,-,-,-,-,-,1,0,Netherlands,2007
SW Tait,11,11,84.3,1,467,23,4/39,20.30,5.52,22.0,1,0,1,0,Australia,2007
Tamim Iqbal,9,-,-,-,-,-,-,-,-,-,-,-,6,0,Bangladesh,2007
Tapash Baisya,1,1,2.5,0,35,0,-,-,12.35,-,0,0,0,0,Bangladesh,2007
BRM Taylor,3,-,-,-,-,-,-,-,-,-,-,-,4,1,Zimbabwe,2007
JE Taylor,7,7,64.0,3,306,6,2/42,51.00,4.78,64.0,0,0,0,0,WestIndies,2007
LRPL Taylor,6,-,-,-,-,-,-,-,-,-,-,-,1,0,NewZealand,2007
RN ten Doeschate,3,3,20.0,0,151,2,2/76,75.50,7.55,60.0,0,0,2,0,Netherlands,2007
SR Tendulkar,3,3,12.0,0,49,2,1/1,24.50,4.08,36.0,0,0,0,0,India,2007
WU Tharanga,11,-,-,-,-,-,-,-,-,-,-,-,2,0,SriLanka,2007
SO Tikolo,3,3,19.0,0,97,4,2/34,24.25,5.10,28.5,0,0,5,0,Kenya,2007
JJ Tucker,3,3,22.0,1,131,0,-,-,5.95,-,0,0,4,0,Bermuda,2007
DR Tuffey,1,1,6.0,0,40,0,-,-,6.66,-,0,0,0,0,NewZealand,2007
Umar Gul,3,3,23.0,2,72,4,2/10,18.00,3.13,34.5,0,0,1,0,Pakistan,2007
RV Uthappa,3,-,-,-,-,-,-,-,-,-,-,-,1,0,India,2007
P Utseya,3,3,26.0,1,101,0,-,-,3.88,-,0,0,1,0,Zimbabwe,2007
WPUJC Vaas,10,10,77.4,15,286,13,3/33,22.00,3.68,35.8,0,0,3,0,SriLanka,2007
DLS van Bunge,3,2,5.1,0,60,1,1/4,60.00,11.61,31.0,0,0,1,0,Netherlands,2007
LP van Troost,2,1,4.0,0,59,1,1/59,59.00,14.75,24.0,0,0,1,0,Netherlands,2007
HA Varaiya,3,3,23.0,3,98,1,1/19,98.00,4.26,138.0,0,0,1,0,Kenya,2007
MP Vaughan,9,3,22.0,0,87,4,3/39,21.75,3.95,33.0,0,0,1,0,England,2007
DL Vettori,10,10,97.4,2,447,16,4/23,27.93,4.57,36.6,1,0,2,0,NewZealand,2007
L Vincent,3,-,-,-,-,-,-,-,-,-,-,-,0,0,NewZealand,2007
RR Watson,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Scotland,2007
SR Watson,8,7,44.3,2,217,4,1/20,54.25,4.87,66.7,0,0,2,0,Australia,2007
DF Watts,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Scotland,2007
AR White,8,5,18.1,1,89,3,2/45,29.66,4.89,36.3,0,0,2,0,Ireland,2007
SC Williams,3,3,15.0,1,79,2,1/21,39.50,5.26,45.0,0,0,1,0,Zimbabwe,2007
CM Wright,2,2,14.0,1,75,1,1/58,75.00,5.35,84.0,0,0,1,0,Scotland,2007
Younis Khan,3,1,1.0,0,5,0,-,-,5.00,-,0,0,3,0,Pakistan,2007
Yuvraj Singh,3,1,3.0,0,15,0,-,-,5.00,-,0,0,0,0,India,2007
B Zuiderent,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Netherlands,2007
Abdul Razzaq,8,8,37.0,6,161,5,2/8,32.20,4.35,44.4,0,0,0,0,Pakistan,2011
Abdur Razzak,6,6,48.0,5,220,7,3/29,31.42,4.58,41.1,0,0,0,0,Bangladesh,2011
Abdur Rehman,5,5,45.0,3,199,3,1/34,66.33,4.42,90.0,0,0,0,0,Pakistan,2011
Adeel Raja,2,2,15.0,1,75,0,-,-,5.00,-,0,0,0,0,Netherlands,2011
Ahmed Shehzad,5,-,-,-,-,-,-,-,-,-,-,-,3,0,Pakistan,2011
HM Amla,7,-,-,-,-,-,-,-,-,-,-,-,1,0,SouthAfrica,2011
JM Anderson,5,5,43.0,1,282,4,2/16,70.50,6.55,64.5,0,0,1,0,England,2011
Asad Shafiq,4,-,-,-,-,-,-,-,-,-,-,-,0,0,Pakistan,2011
R Ashwin,2,2,20.0,0,93,4,2/41,23.25,4.65,30.0,0,0,1,0,India,2011
A Bagai,6,-,-,-,-,-,-,-,-,-,-,-,8,0,Canada,2011
HS Baidwan,6,6,55.0,3,307,13,3/35,23.61,5.58,25.3,0,0,2,0,Canada,2011
WD Balaji Rao,6,6,54.0,0,299,9,4/57,33.22,5.53,36.0,1,0,3,0,Canada,2011
W Barresi,6,-,-,-,-,-,-,-,-,-,-,-,2,1,Netherlands,2011
IR Bell,7,-,-,-,-,-,-,-,-,-,-,-,2,0,England,2011
SJ Benn,6,6,47.5,3,238,12,4/18,19.83,4.97,23.9,2,0,0,0,WestIndies,2011
HK Bennett,4,4,24.1,0,132,6,4/16,22.00,5.46,24.1,1,0,0,0,NewZealand,2011
D Bishoo,3,3,25.0,1,106,4,3/34,26.50,4.24,37.5,0,0,0,0,WestIndies,2011
RS Bopara,5,3,16.4,3,63,2,2/22,31.50,3.78,50.0,0,0,1,0,England,2011
PW Borren,6,3,18.0,0,99,2,1/28,49.50,5.50,54.0,0,0,2,0,Netherlands,2011
AC Botha,2,2,19.0,1,88,4,3/32,22.00,4.63,28.5,0,0,1,0,Ireland,2011
J Botha,5,5,42.0,1,171,4,2/48,42.75,4.07,63.0,0,0,2,0,SouthAfrica,2011
DJ Bravo,1,1,2.1,0,12,0,-,-,5.53,-,0,0,0,0,WestIndies,2011
DM Bravo,7,-,-,-,-,-,-,-,-,-,-,-,0,0,WestIndies,2011
TT Bresnan,7,7,63.0,5,309,9,5/48,34.33,4.90,42.0,0,1,1,0,England,2011
SCJ Broad,3,3,25.4,2,153,6,4/15,25.50,5.96,25.6,1,0,0,0,England,2011
Mudassar Bukhari,6,6,48.0,4,252,5,2/65,50.40,5.25,57.6,0,0,0,0,Netherlands,2011
AF Buurman,2,-,-,-,-,-,-,-,-,-,-,-,3,0,Netherlands,2011
RW Chakabva,5,-,-,-,-,-,-,-,-,-,-,-,3,0,Zimbabwe,2011
S Chanderpaul,5,-,-,-,-,-,-,-,-,-,-,-,0,0,WestIndies,2011
PP Chawla,3,3,28.0,0,174,4,2/47,43.50,6.21,42.0,0,0,0,0,India,2011
E Chigumbura,6,3,8.0,0,59,0,-,-,7.37,-,0,0,3,0,Zimbabwe,2011
MJ Clarke,7,2,8.0,0,40,0,-,-,5.00,-,0,0,2,0,Australia,2011
PD Collingwood,4,4,23.0,0,116,1,1/46,116.00,5.04,138.0,0,0,1,0,England,2011
TLW Cooper,6,6,27.2,3,153,4,2/31,38.25,5.59,41.0,0,0,2,0,Netherlands,2011
CK Coventry,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Zimbabwe,2011
AG Cremer,6,6,46.2,1,211,6,3/31,35.16,4.55,46.3,0,0,2,0,Zimbabwe,2011
AR Cusack,5,5,18.2,1,108,0,-,-,5.89,-,0,0,1,0,Ireland,2011
JM Davison,5,5,35.0,1,197,5,2/56,39.40,5.62,42.0,0,0,5,0,Canada,2011
TN de Grooth,5,-,-,-,-,-,-,-,-,-,-,-,0,0,Netherlands,2011
PA Desai,1,1,3.0,0,20,0,-,-,6.66,-,0,0,0,0,Canada,2011
AB de Villiers,5,-,-,-,-,-,-,-,-,-,-,-,1,0,SouthAfrica,2011
MS Dhoni,9,-,-,-,-,-,-,-,-,-,-,-,7,3,India,2011
TM Dilshan,9,7,31.0,2,126,8,4/4,15.75,4.06,23.2,1,0,6,0,SriLanka,2011
GH Dockrell,6,6,46.4,2,207,7,2/23,29.57,4.43,40.0,0,0,3,0,Ireland,2011
JP Duminy,7,5,17.0,0,85,2,1/11,42.50,5.00,51.0,0,0,4,0,SouthAfrica,2011
F du Plessis,7,2,8.0,0,38,1,1/22,38.00,4.75,48.0,0,0,0,0,SouthAfrica,2011
KA Edwards,1,-,-,-,-,-,-,-,-,-,-,-,0,0,WestIndies,2011
CR Ervine,6,-,-,-,-,-,-,-,-,-,-,-,0,0,Zimbabwe,2011
JEC Franklin,6,4,14.0,0,79,0,-,-,5.64,-,0,0,2,0,NewZealand,2011
G Gambhir,9,-,-,-,-,-,-,-,-,-,-,-,0,0,India,2011
CH Gayle,5,1,6.0,0,26,0,-,-,4.33,-,0,0,3,0,WestIndies,2011
TG Gordon,4,1,0.3,0,1,0,-,-,2.00,-,0,0,1,0,Canada,2011
R Gunasekera,5,-,-,-,-,-,-,-,-,-,-,-,1,0,Canada,2011
MJ Guptill,8,-,-,-,-,-,-,-,-,-,-,-,1,0,NewZealand,2011
BJ Haddin,7,-,-,-,-,-,-,-,-,-,-,-,13,0,Australia,2011
AS Hansra,6,5,24.0,1,147,2,2/23,73.50,6.12,72.0,0,0,3,0,Canada,2011
Harbhajan Singh,9,9,87.0,2,390,9,3/53,43.33,4.48,58.0,0,0,4,0,India,2011
HMRKB Herath,4,3,29.0,2,124,3,2/46,41.33,4.27,58.0,0,0,0,0,SriLanka,2011
JM How,2,-,-,-,-,-,-,-,-,-,-,-,0,0,NewZealand,2011
DJ Hussey,4,2,9.0,1,31,2,1/12,15.50,3.44,27.0,0,0,0,0,Australia,2011
MEK Hussey,4,-,-,-,-,-,-,-,-,-,-,-,1,0,Australia,2011
Imran Tahir,5,5,39.3,2,150,14,4/38,10.71,3.79,16.9,2,0,2,0,SouthAfrica,2011
Imrul Kayes,6,-,-,-,-,-,-,-,-,-,-,-,2,0,Bangladesh,2011
CA Ingram,1,-,-,-,-,-,-,-,-,-,-,-,0,0,SouthAfrica,2011
DPMD Jayawardene,9,-,-,-,-,-,-,-,-,-,-,-,8,0,SriLanka,2011
MG Johnson,7,7,57.3,7,231,10,4/19,23.10,4.01,34.5,2,0,1,0,Australia,2011
DT Johnston,5,5,43.2,2,240,8,2/16,30.00,5.53,32.5,0,0,3,0,Ireland,2011
EC Joyce,6,-,-,-,-,-,-,-,-,-,-,-,0,0,Ireland,2011
Junaid Siddique,6,-,-,-,-,-,-,-,-,-,-,-,3,0,Bangladesh,2011
JH Kallis,7,6,30.0,3,123,5,2/19,24.60,4.10,36.0,0,0,6,0,SouthAfrica,2011
S Randiv,1,1,9.0,0,43,0,-,-,4.77,-,0,0,0,0,SriLanka,2011
JK Kamande,5,5,25.0,0,170,3,2/46,56.66,6.80,50.0,0,0,1,0,Kenya,2011
Kamran Akmal,8,-,-,-,-,-,-,-,-,-,-,-,8,4,Pakistan,2011
CK Kapugedera,2,-,-,-,-,-,-,-,-,-,-,-,0,0,SriLanka,2011
AN Kervezee,6,-,-,-,-,-,-,-,-,-,-,-,5,0,Netherlands,2011
Z Khan,9,9,81.3,4,394,21,3/20,18.76,4.83,23.2,0,0,4,0,India,2011
Khurram Chohan,4,4,28.3,0,156,2,2/44,78.00,5.47,85.5,0,0,0,0,Canada,2011
V Kohli,9,2,2.0,0,12,0,-,-,6.00,-,0,0,3,0,India,2011
JJ Krejza,7,7,61.5,0,278,5,2/28,55.60,4.49,74.2,0,0,1,0,Australia,2011
BP Kruger,1,1,3.3,0,23,0,-,-,6.57,-,0,0,1,0,Netherlands,2011
KMDN Kulasekara,6,6,48.2,4,214,5,3/16,42.80,4.42,58.0,0,0,0,0,SriLanka,2011
NR Kumar,3,-,-,-,-,-,-,-,-,-,-,-,2,0,Canada,2011
GA Lamb,5,5,35.0,0,163,4,2/21,40.75,4.65,52.5,0,0,0,0,Zimbabwe,2011
B Lee,7,7,54.2,6,235,13,4/28,18.07,4.32,25.0,2,0,4,0,Australia,2011
BP Loots,4,4,27.4,0,207,2,1/44,103.50,7.48,83.0,0,0,0,0,Netherlands,2011
BB McCullum,8,-,-,-,-,-,-,-,-,-,-,-,8,1,NewZealand,2011
NL McCullum,8,8,50.0,1,241,8,3/24,30.12,4.82,37.5,0,0,3,0,NewZealand,2011
AJ McKay,1,1,9.5,1,37,1,1/37,37.00,3.76,59.0,0,0,0,0,NewZealand,2011
Mahmudullah,4,3,22.0,0,125,3,1/30,41.66,5.68,44.0,0,0,0,0,Bangladesh,2011
SL Malinga,7,6,48.4,0,270,13,6/38,20.76,5.54,22.4,0,1,0,0,SriLanka,2011
SW Masakadza,1,1,6.0,1,44,0,-,-,7.33,-,0,0,0,0,Zimbabwe,2011
AD Mathews,8,6,36.0,0,171,6,2/29,28.50,4.75,36.0,0,0,1,0,SriLanka,2011
BAW Mendis,6,5,42.4,5,134,7,3/35,19.14,3.14,36.5,0,0,0,0,SriLanka,2011
NO Miller,3,2,13.0,0,63,0,-,-,4.84,-,0,0,0,0,WestIndies,2011
KD Mills,3,3,20.4,2,74,6,2/2,12.33,3.58,20.6,0,0,0,0,NewZealand,2011
Misbah-ul-Haq,8,-,-,-,-,-,-,-,-,-,-,-,3,0,Pakistan,2011
T Mishra,5,-,-,-,-,-,-,-,-,-,-,-,1,0,Kenya,2011
Mohammad Ashraful,2,2,11.0,0,53,2,2/42,26.50,4.81,33.0,0,0,1,0,Bangladesh,2011
Mohammad Hafeez,8,8,55.0,4,193,8,2/16,24.12,3.50,41.2,0,0,0,0,Pakistan,2011
JF Mooney,6,6,45.0,0,259,10,4/63,25.90,5.75,27.0,1,0,2,0,Ireland,2011
EJG Morgan,3,-,-,-,-,-,-,-,-,-,-,-,0,0,England,2011
M Morkel,6,6,40.2,0,207,9,3/33,23.00,5.13,26.8,0,0,2,0,SouthAfrica,2011
CB Mpofu,4,4,27.0,1,159,7,4/62,22.71,5.88,23.1,1,0,1,0,Zimbabwe,2011
M Muralitharan,9,8,71.0,1,291,15,4/25,19.40,4.09,28.4,1,0,1,0,SriLanka,2011
Mushfiqur Rahim,6,-,-,-,-,-,-,-,-,-,-,-,3,4,Bangladesh,2011
Naeem Islam,5,5,37.0,2,175,4,2/29,43.75,4.72,55.5,0,0,2,0,Bangladesh,2011
A Nehra,3,3,23.4,1,120,3,2/33,40.00,5.07,47.3,0,0,1,0,India,2011
JO Ngoche,3,3,28.0,2,150,2,1/26,75.00,5.35,84.0,0,0,2,0,Kenya,2011
SO Ngoche,3,2,14.0,0,85,1,1/46,85.00,6.07,84.0,0,0,0,0,Kenya,2011
AA Obanda,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Kenya,2011
KJ O'Brien,6,4,17.0,0,115,4,4/71,28.75,6.76,25.5,1,0,3,0,Ireland,2011
NJ O'Brien,6,-,-,-,-,-,-,-,-,-,-,-,3,1,Ireland,2011
CO Obuya,6,5,11.4,0,80,1,1/33,80.00,6.85,70.0,0,0,1,0,Kenya,2011
DO Obuya,4,-,-,-,-,-,-,-,-,-,-,-,2,0,Kenya,2011
NN Odhiambo,6,6,43.0,2,256,6,3/57,42.66,5.95,43.0,0,0,0,0,Kenya,2011
TM Odoyo,5,4,25.0,3,134,3,3/41,44.66,5.36,50.0,0,0,0,0,Kenya,2011
PJ Ongondo,2,2,13.0,0,81,1,1/53,81.00,6.23,78.0,0,0,0,0,Kenya,2011
JDP Oram,6,6,49.5,6,221,12,4/39,18.41,4.43,24.9,1,0,5,0,NewZealand,2011
H Osinde,5,5,36.0,3,166,6,4/26,27.66,4.61,36.0,1,0,2,0,Canada,2011
E Otieno,6,6,41.3,1,274,5,2/61,54.80,6.60,49.8,0,0,1,0,Kenya,2011
MA Ouma,5,-,-,-,-,-,-,-,-,-,-,-,2,2,Kenya,2011
T Panyangara,2,2,11.3,0,93,0,-,-,8.08,-,0,0,2,0,Zimbabwe,2011
WD Parnell,1,1,4.0,1,4,0,-,-,1.00,-,0,0,0,0,SouthAfrica,2011
H Patel,2,1,1.0,0,19,0,-,-,19.00,-,0,0,0,0,Canada,2011
MM Patel,8,8,65.5,1,353,11,4/48,32.09,5.36,35.9,1,0,2,0,India,2011
RR Patel,4,-,-,-,-,-,-,-,-,-,-,-,2,0,Kenya,2011
YK Pathan,6,6,35.0,2,167,1,1/49,167.00,4.77,210.0,0,0,2,0,India,2011
NLTC Perera,4,4,31.0,0,174,7,3/24,24.85,5.61,26.5,0,0,1,0,SriLanka,2011
RJ Peterson,7,7,56.0,5,238,15,4/12,15.86,4.25,22.4,1,0,6,0,SouthAfrica,2011
KP Pietersen,4,2,10.0,0,49,0,-,-,4.90,-,0,0,1,0,England,2011
KA Pollard,7,5,31.5,0,157,2,1/37,78.50,4.93,95.5,0,0,6,0,WestIndies,2011
RT Ponting,7,-,-,-,-,-,-,-,-,-,-,-,3,0,Australia,2011
WTS Porterfield,6,-,-,-,-,-,-,-,-,-,-,-,4,0,Ireland,2011
RW Price,6,6,49.0,7,169,9,3/16,18.77,3.44,32.6,0,0,2,0,Zimbabwe,2011
MJ Prior,7,-,-,-,-,-,-,-,-,-,-,-,7,3,England,2011
SK Raina,4,1,2.0,0,12,1,1/12,12.00,6.00,12.0,0,0,3,0,India,2011
R Rampaul,2,2,15.0,1,79,5,5/51,15.80,5.26,18.0,0,1,1,0,WestIndies,2011
WB Rankin,6,6,55.0,2,315,3,1/35,105.00,5.72,110.0,0,0,1,0,Ireland,2011
Raqibul Hasan,4,-,-,-,-,-,-,-,-,-,-,-,1,0,Bangladesh,2011
Rizwan Cheema,6,6,40.5,1,248,6,2/30,41.33,6.07,40.8,0,0,0,0,Canada,2011
KAJ Roach,6,6,46.0,2,195,13,6/27,15.00,4.23,21.2,0,1,0,0,WestIndies,2011
Rubel Hossain,6,6,39.4,0,216,5,3/56,43.20,5.44,47.6,0,0,0,0,Bangladesh,2011
AD Russell,3,3,27.1,3,132,7,4/49,18.85,4.85,23.2,1,0,2,0,WestIndies,2011
JD Ryder,7,5,14.1,0,81,1,1/15,81.00,5.71,85.0,0,0,4,0,NewZealand,2011
Saeed Ajmal,3,3,26.0,1,93,5,2/18,18.60,3.57,31.2,0,0,0,0,Pakistan,2011
TT Samaraweera,9,1,2.0,0,4,1,1/4,4.00,2.00,12.0,0,0,3,0,SriLanka,2011
DJG Sammy,7,7,46.0,4,206,8,3/21,25.75,4.47,34.5,0,0,3,0,WestIndies,2011
KC Sangakkara,9,-,-,-,-,-,-,-,-,-,-,-,10,4,SriLanka,2011
RR Sarwan,7,-,-,-,-,-,-,-,-,-,-,-,1,0,WestIndies,2011
PM Seelaar,6,6,59.4,4,306,8,3/45,38.25,5.12,44.7,0,0,2,0,Netherlands,2011
V Sehwag,8,-,-,-,-,-,-,-,-,-,-,-,3,0,India,2011
Shafiul Islam,6,6,39.2,4,203,6,4/21,33.83,5.16,39.3,1,0,1,0,Bangladesh,2011
Shahid Afridi,8,8,74.3,4,270,21,5/16,12.85,3.62,21.2,2,2,5,0,Pakistan,2011
Shahriar Nafees,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Bangladesh,2011
A Shahzad,2,2,18.0,0,96,3,3/43,32.00,5.33,36.0,0,0,0,0,England,2011
Shakib Al Hasan,6,6,46.2,0,223,8,2/28,27.87,4.81,34.7,0,0,2,0,Bangladesh,2011
Shoaib Akhtar,3,3,24.0,1,122,3,2/42,40.66,5.08,48.0,0,0,0,0,Pakistan,2011
V Sibanda,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Zimbabwe,2011
LPC Silva,7,1,3.0,0,12,0,-,-,4.00,-,0,0,0,0,SriLanka,2011
DS Smith,7,1,0.5,0,5,0,-,-,6.00,-,0,0,0,0,WestIndies,2011
GC Smith,7,-,-,-,-,-,-,-,-,-,-,-,5,0,SouthAfrica,2011
SPD Smith,6,5,27.0,0,139,1,1/44,139.00,5.14,162.0,0,0,1,0,Australia,2011
Sohrawordi Shuvo,1,1,10.0,1,33,1,1/33,33.00,3.30,60.0,0,0,0,0,Bangladesh,2011
TG Southee,8,8,72.2,9,312,18,3/13,17.33,4.31,24.1,0,0,1,0,NewZealand,2011
S Sreesanth,2,2,13.0,0,105,0,-,-,8.07,-,0,0,0,0,India,2011
DW Steyn,6,6,46.1,3,192,12,5/50,16.00,4.15,23.0,0,1,1,0,SouthAfrica,2011
PR Stirling,6,6,46.0,0,208,4,2/51,52.00,4.52,69.0,0,0,2,0,Ireland,2011
AJ Strauss,7,-,-,-,-,-,-,-,-,-,-,-,1,0,England,2011
SB Styris,8,5,28.4,0,127,4,2/17,31.75,4.43,43.0,0,0,3,0,NewZealand,2011
ZE Surkari,6,-,-,-,-,-,-,-,-,-,-,-,1,0,Canada,2011
GP Swann,7,7,68.0,5,309,12,3/36,25.75,4.54,34.0,0,0,1,0,England,2011
ES Szwarczynski,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Netherlands,2011
T Taibu,6,-,-,-,-,-,-,-,-,-,-,-,0,3,Zimbabwe,2011
SW Tait,7,7,52.0,3,264,11,3/35,24.00,5.07,28.3,0,0,1,0,Australia,2011
Tamim Iqbal,6,-,-,-,-,-,-,-,-,-,-,-,2,0,Bangladesh,2011
BRM Taylor,6,1,3.0,0,23,0,-,-,7.66,-,0,0,0,0,Zimbabwe,2011
LRPL Taylor,8,-,-,-,-,-,-,-,-,-,-,-,5,0,NewZealand,2011
RN ten Doeschate,6,6,52.0,2,322,7,3/72,46.00,6.19,44.5,0,0,2,0,Netherlands,2011
SR Tendulkar,9,2,4.0,0,21,0,-,-,5.25,-,0,0,2,0,India,2011
WU Tharanga,9,-,-,-,-,-,-,-,-,-,-,-,2,0,SriLanka,2011
DC Thomas,7,-,-,-,-,-,-,-,-,-,-,-,7,3,WestIndies,2011
SO Tikolo,5,3,21.0,1,117,1,1/44,117.00,5.57,126.0,0,0,0,0,Kenya,2011
JC Tredwell,2,2,16.0,2,86,4,4/48,21.50,5.37,24.0,1,0,0,0,England,2011
CT Tremlett,2,2,12.3,0,85,0,-,-,6.80,-,0,0,1,0,England,2011
IJL Trott,7,-,-,-,-,-,-,-,-,-,-,-,0,0,England,2011
LL Tsotsobe,1,1,5.0,2,14,3,3/14,4.66,2.80,10.0,0,0,0,0,SouthAfrica,2011
Umar Akmal,7,-,-,-,-,-,-,-,-,-,-,-,4,0,Pakistan,2011
Umar Gul,8,8,60.3,5,272,14,3/30,19.42,4.49,25.9,0,0,1,0,Pakistan,2011
P Utseya,6,6,49.0,3,211,6,2/24,35.16,4.30,49.0,0,0,0,0,Zimbabwe,2011
MN van Wyk,5,-,-,-,-,-,-,-,-,-,-,-,7,1,SouthAfrica,2011
DL Vettori,6,5,43.0,4,155,3,2/25,51.66,3.60,86.0,0,0,1,0,NewZealand,2011
Wahab Riaz,5,5,33.5,0,158,8,5/46,19.75,4.66,25.3,0,1,1,0,Pakistan,2011
SR Waters,4,-,-,-,-,-,-,-,-,-,-,-,1,0,Kenya,2011
SR Watson,7,7,39.0,1,178,3,1/9,59.33,4.56,78.0,0,0,3,0,Australia,2011
BA Westdijk,3,3,23.0,0,173,1,1/56,173.00,7.52,138.0,0,0,0,0,Netherlands,2011
K Whatham,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Canada,2011
AR White,2,1,5.0,0,23,0,-,-,4.60,-,0,0,2,0,Ireland,2011
CL White,7,-,-,-,-,-,-,-,-,-,-,-,1,0,Australia,2011
SC Williams,2,2,11.0,0,40,0,-,-,3.63,-,0,0,1,0,Zimbabwe,2011
KS Williamson,4,2,5.0,0,30,0,-,-,6.00,-,0,0,0,0,NewZealand,2011
GC Wilson,4,-,-,-,-,-,-,-,-,-,-,-,0,0,Ireland,2011
LJ Woodcock,1,1,5.2,0,24,1,1/24,24.00,4.50,32.0,0,0,0,0,NewZealand,2011
LJ Wright,2,2,8.0,0,35,0,-,-,4.37,-,0,0,0,0,England,2011
MH Yardy,3,3,26.0,1,159,2,1/46,79.50,6.11,78.0,0,0,1,0,England,2011
Younis Khan,8,-,-,-,-,-,-,-,-,-,-,-,1,0,Pakistan,2011
Yuvraj Singh,9,9,75.0,2,377,15,5/31,25.13,5.02,30.0,0,1,3,0,India,2011
B Zuiderent,4,-,-,-,-,-,-,-,-,-,-,-,0,0,Netherlands,2011
KJ Abbott,4,4,31.0,1,130,9,4/21,14.44,4.19,20.6,1,0,1,0,SouthAfrica,2015
Afsar Zazai,6,-,-,-,-,-,-,-,-,-,-,-,7,0,Afghanistan,2015
Aftab Alam,1,1,9.0,0,55,2,2/55,27.50,6.11,27.0,0,0,0,0,Afghanistan,2015
Ahmed Shehzad,7,-,-,-,-,-,-,-,-,-,-,-,2,0,Pakistan,2015
MM Ali,5,4,38.0,0,201,4,2/47,50.25,5.28,57.0,0,0,0,0,England,2015
Amjad Ali,6,-,-,-,-,-,-,-,-,-,-,-,3,0,UnitedArabEmirates,2015
Amjad Javed,6,6,48.0,0,313,7,3/60,44.71,6.52,41.1,0,0,3,0,UnitedArabEmirates,2015
HM Amla,8,-,-,-,-,-,-,-,-,-,-,-,6,0,SouthAfrica,2015
Anamul Haque,3,-,-,-,-,-,-,-,-,-,-,-,1,0,Bangladesh,2015
CJ Anderson,9,9,36.1,1,234,14,3/18,16.71,6.47,15.5,0,0,3,0,NewZealand,2015
JM Anderson,6,6,46.0,1,245,5,2/30,49.00,5.32,55.2,0,0,1,0,England,2015
Arafat Sunny,1,1,8.0,0,42,0,-,-,5.25,-,0,0,0,0,Bangladesh,2015
Asghar Afghan,5,1,0.5,0,6,0,-,-,7.20,-,0,0,0,0,Afghanistan,2015
R Ashwin,8,8,77.0,6,330,13,4/25,25.38,4.28,35.5,1,0,3,0,India,2015
GJ Bailey,1,-,-,-,-,-,-,-,-,-,-,-,1,0,Australia,2015
A Balbirnie,6,-,-,-,-,-,-,-,-,-,-,-,0,0,Ireland,2015
GS Ballance,4,-,-,-,-,-,-,-,-,-,-,-,1,0,England,2015
F Behardien,4,3,11.0,1,64,0,-,-,5.81,-,0,0,1,0,SouthAfrica,2015
IR Bell,6,-,-,-,-,-,-,-,-,-,-,-,0,0,England,2015
SJ Benn,3,3,29.0,1,184,2,2/39,92.00,6.34,87.0,0,0,2,0,WestIndies,2015
AR Berenger,6,-,-,-,-,-,-,-,-,-,-,-,1,0,UnitedArabEmirates,2015
RD Berrington,6,4,23.1,0,132,7,4/40,18.85,5.69,19.8,1,0,0,0,Scotland,2015
RS Bopara,1,1,8.0,1,31,2,2/31,15.50,3.87,24.0,0,0,1,0,England,2015
TA Boult,9,9,85.0,14,371,22,5/27,16.86,4.36,23.1,1,1,1,0,NewZealand,2015
DM Bravo,2,-,-,-,-,-,-,-,-,-,-,-,2,0,WestIndies,2015
SCJ Broad,6,6,47.2,2,254,4,2/66,63.50,5.36,71.0,0,0,2,0,England,2015
JC Buttler,6,-,-,-,-,-,-,-,-,-,-,-,8,0,England,2015
JL Carter,5,-,-,-,-,-,-,-,-,-,-,-,0,0,WestIndies,2015
RW Chakabva,4,-,-,-,-,-,-,-,-,-,-,-,3,0,Zimbabwe,2015
PVD Chameera,2,2,9.1,0,80,3,3/51,26.66,8.72,18.3,0,0,0,0,SriLanka,2015
LD Chandimal,3,-,-,-,-,-,-,-,-,-,-,-,1,0,SriLanka,2015
J Charles,2,-,-,-,-,-,-,-,-,-,-,-,0,0,WestIndies,2015
TL Chatara,6,6,59.4,5,342,10,3/35,34.20,5.73,35.8,0,0,0,0,Zimbabwe,2015
CJ Chibhabha,4,-,-,-,-,-,-,-,-,-,-,-,0,0,Zimbabwe,2015
E Chigumbura,4,4,13.0,0,93,1,1/30,93.00,7.15,78.0,0,0,2,0,Zimbabwe,2015
MJ Clarke,7,1,5.0,0,14,1,1/14,14.00,2.80,30.0,0,0,5,0,Australia,2015
KJ Coetzer,6,2,7.5,0,58,0,-,-,7.40,-,0,0,1,0,Scotland,2015
FRJ Coleman,3,-,-,-,-,-,-,-,-,-,-,-,5,0,Scotland,2015
MH Cross,6,-,-,-,-,-,-,-,-,-,-,-,9,1,Scotland,2015
PJ Cummins,2,2,13.1,1,80,5,3/42,16.00,6.07,15.8,0,0,2,0,Australia,2015
AR Cusack,4,4,37.3,3,172,7,4/32,24.57,4.58,32.1,1,0,2,0,Ireland,2015
